TEN DON VI,HE THONG,SYSTEM CODE,KA,SUP,SALE,PG,QUAN,VUNG MIEN,TINH/THANH,NAM,THANG
HO KINH DOANH CUA HANG TIEN LOI BUI,CUA HANG TIEN LOI BUI,6675,KA HCM2,TRAN THI THAO NGUYEN,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD ROMAN,COOP FOOD,COOP_F_ROMAN,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
BACH HOA XANH TAY NINH,BHX,BHX_13628_TNINH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2024,12
BACH HOA XANH XUYEN A,BHX,BHX_13807_XUYENA,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD GREEN HILLS,COOP FOOD,COOP_F_GHILLS,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD VINH HUNG,COOP FOOD,COOP_F_VHUNG,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
BIG C BAC LIEU,BIG C,BIGC_BLIEU,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD SAPHIRE,COOP FOOD,COOP_F_SAPHIRE,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD HOANG ANH,COOP FOOD,COOP_F_HOANGANH,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD QUOC LO 22,COOP FOOD,COOP_F_QL22_726,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD GARDEN,COOP FOOD,COOP_F_GARDEN,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOP MART LONG BINH,COOP MART,COOP_LBINH,KA HCM2,LU DIEU QUANG,"""NO SALE""","""NO PG""",,,,2024,12
COOPFOOD TAN THANH,COOP FOOD,COOP_F_TTHANH,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD PHAM VAN HON,COOP FOOD,COOP_F_PVHON151,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD LE VAN THINH,COOP FOOD,COOP_F_LVTHINH,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD PHAN VAN HON,COOP FOOD,COOP_F_PVHON285,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD GIA PHU,COOP FOOD,COOP_F_GIAPHU,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD TON THAT THUYET,COOP FOOD,COOP_F_TTTHUYET,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOP NGUYEN VAN DAU,COOP FOOD,COOP_F_NVDAU,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD TRAN PHU,COOP FOOD,COOP_F_TPHU71,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD EURO,COOP FOOD,COOP_F_EURO,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD HAPPY,COOP FOOD,COOP_F_HAPPY,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOP PHAM THE HIEN,COOP MART,COOP_PTHIEN,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD HUYNH VAN NGHE,COOP FOOD,COOP_F_HVNGHE,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD NGUYEN THAI BINH,COOP FOOD,COOP_F_NTB,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD TINH LO 8,COOP FOOD,COOP_F_TL8_628,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD TRIEU KHUC,COOP FOOD,COOP_F_TKHUC,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD XUYEN A,COOP FOOD,COOP_F_XUYENA,KA HCM1,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD BACH MA ,COOP FOOD,COOP_F_BMA,KA HCM0,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOFOOD BINH THOI,COOP FOOD,COOP_F_BTHOI,KA HCM1,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD HAUSNEO,COOP FOOD,COOP_F_HAUSNEO,KA HCM1,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD IDICO,COOP FOOD,COOP_F_IDICO,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD PHAM THE HIEN 2649,COOP FOOD,COOP_F_PTHIEN2649,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD THONG NHAT,COOP FOOD,COOP_F_TNHAT,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD TRUONG CONG DINH,COOP FOOD,COOP_F_TCDINH,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD CHO CAU,COOP FOOD,COOP_F_CHOCAU,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD HOANG QUAN,COOP FOOD,COOP_F_HQUAN2,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD TRAN TRONG CUNG,COOP FOOD,COOP_F_TTCUNG,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD AKARI,COOP FOOD,COOP_F_AKARI,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD VINH PHU,COOP FOOD,COOP_F_VPHU,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD HO VAN TU,COOP FOOD,COOP_F_HVTU,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD TRUONG VAN THANH,COOP FOOD,COOP_F_TVTHANH,KA HCM3,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD TRUONG DINH HOI,COOP FOOD,COOP_F_TDHOI,KA HCM4,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD HIEP PHU,COOP FOOD,COOP_F_HPHU,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD SAMSORA RIVERSIDE,COOP FOOD,COOP_F_SAMSO,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD VUON LAI,COOP FOOD,COOP_F_VLAI,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD TRAN VAN QUANG,COOP FOOD,COOP_F_TVQ,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD THANG LONG,COOP FOOD,COOP_F_TLONG31,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD CAY TRAM,COOP FOOD,COOP_F_CTRAM,KA HCM2,LU DIEU QUANG,VU THUY MINH THAO,"""NO PG""",,,,2024,12
COOPFOOD TRAN VIET CHAU,COOP FOOD,COOP_F_TVC,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD THOAI NGOC HAU,COOP FOOD,COOP_F_TNHAU,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD BINH KHANH,COOP FOOD,COOP_F_BINHKHANH,KA HCM4,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD TRAN QUANG KHAI,COOP FOOD,COOP_F_TQK,KA HCM4,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD TAN QUY,COOP FOOD,COOP_F_TANQUY,KA HCM5,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD NGUYEN DUY TRINH,COOP FOOD,COOP_F_NDTRINH,KA HCM5,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD BINH GIA,COOP FOOD,COOP_F_BGIA,KA HCM5,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD PHU LOI,COOP FOOD,COOP_F_PLOI,KA HCM5,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOP PHO QUANG,COOP,COOP_NQ_PQ,KA HCM6,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
GENSHAI VINMART 3,GENSHAI,HD_VIN3T2,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,,,2024,12
AB BEAUTY WORLD,ABBW,AB_PART,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
AB BEAUTY WORLD LE DAI HANH,ABBW,AB_LDH,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
AB BEAUTY WORLD LE VAN SY,ABBW,AB_LVS,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
AB BEAUTY WORLD LUY BAN BICH,ABBW,AB_LBB,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
AB BEAUTY WORLD MA LO,ABBW,AB_MALO,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
AB BEAUTY WORLD NGUYEN THI THAP,ABBW,AB_NTTHAP,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
AB BEAUTY WORLD PHAN DANG LUU,ABBW,AB_PDL,KA HCM1,VACANCY,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
ACE SONG HANH,ACE,ACE_SH,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,TP HCM,HCM,2024,12
ACE SU VAN HANH,ACE,ACE_SVH,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,TP HCM,HCM,2024,12
AEON BINH DUONG,AEON,AEON_BDUONG_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2024,12
AEON BINH TAN,AEON,AEON_BTAN_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
AEON CITI B&B CONIC,AEON CITI,CITI_CONIC,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI BCA QUAN 2,AEON CITI,CITI_BCAN,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI BINH DUONG,AEON CITI,CITI_BDUONG,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,BINH DUONG,MIEN DONG NAM BO,2024,12
AEON CITI BINH TAN,AEON CITI,CITI_BTAN,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI CAO THANG,AEON CITI,CITI_CTHANG,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI ECOPARK,AEON CITI,CITI_ECP,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
AEON CITI GARDEN PLAZA,AEON CITI,CITI_PLA,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI GREEN VIEW,AEON CITI,CITI_NLB,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI HA NOI TOWER,AEON CITI,CITI_TOW,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
AEON CITI HIM LAM QUAN 6,AEON CITI,CITI_HLAM6,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI HIM LAM QUAN 7,AEON CITI,CITI_HLAM7,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI HUNG VUONG,AEON CITI,CITI_HVUONG,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI INDOCHINA,AEON CITI,CITI_IND,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,HA NOI,MIEN BAC,2024,12
AEON CITI KHO PHAN PHOI SI MIEN NAM,AEON CITI,CITI_KHO,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI NAM LONG,AEON CITI,CITI_NLONG,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI NEW SAI GON,AEON CITI,CITI_NEWSG,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI NHA TRANG,AEON CITI,CITI_NTRANG,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,NHA TRANG,DUYEN HAI NAM TRUNG BO,2024,12
AEON CITI NHA TRANG 2,AEON CITI,CITI_NTRANG2,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,NHA TRANG,DUYEN HAI NAM TRUNG BO,2024,12
AEON CITI PARKSON QUAN 5,AEON CITI,CITI_PAR5,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI PHUC YEN,AEON CITI,CITI_PYEN,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI RES 11,AEON CITI,CITI_RES11,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI SOMMERSET,AEON CITI,CITI_NTMK,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI SUNRISE CITY,AEON CITI,CITI_SUNRISE,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON CITI TROPIC QUAN 2,AEON CITI,CITI_TROPIC,KA HCM2,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,HCM,2024,12
AEON HA DONG,AEON,AEON_HDONG_RDC,KA HCM1,LE NAM PHUONG,LE THI HONG DIEP,"""NO PG""",,HA NOI,MIEN BAC,2024,12
AEON HAI PHONG,AEON,AEON_HPHONG_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,HAI PHONG,MIEN BAC,2024,12
AEON LONG BIEN,AEON,AEON_LBIEN_RDC,KA HCM1,LE NAM PHUONG,LE THI HONG DIEP,"""NO PG""",,HA NOI,MIEN BAC,2024,12
AEON NEWTON,AEON,AEON_GBNEWTON_RDC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,HAI PHONG,MIEN BAC,2024,12
AEON TAN PHU,AEON,AEON_TPHU_RDC,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,TP HCM,HCM,2024,12
AN NAM FELIZ,AN NAM,SD_FELIZ,KA HCM3,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,,,2024,12
AN NAM HAI BA TRUNG,AN NAM,SD_HBT,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,TP HCM,HCM,2024,12
AN NAM LANDMART 81,AN NAM,SD_LAND81,KA HCM3+D285:J285,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,TP HCM,HCM,2024,12
AN NAM LE LOI,AN NAM,SD_LLOI,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,TP HCM,HCM,2024,12
AN NAM LONG BIEN,AN NAM,SD_LBIEN,KA HCM2,TRAN THI THAO NGUYEN,LE THI HONG DIEP,"""NO PG""",,,,2024,12
AN NAM NGUYEN DUC CANH,AN NAM,SD_NDC,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,TP HCM,HCM,2024,12
AN NAM NGUYEN HUU CANH,AN NAM,SD_NHC,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,TP HCM,HCM,2024,12
AN NAM NGUYEN LUONG BANG,AN NAM,SD_NLB,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,,,2024,12
AN NAM NGUYEN VAN TROI,AN NAM,SD_NVT,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,,,2024,12
AN NAM SONG HANH,AN NAM,SD_SH,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,TP HCM,HCM,2024,12
AN NAM SYRENA,AN NAM,SD_SYRENA,KA HCM2,TRAN THI THAO NGUYEN,LE THI HONG DIEP,"""NO PG""",,,,2024,12
AN NAM TERACE,AN NAM,SD_TERRACE,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,,,2024,12
AN NAM THAO DIEN,AN NAM,SD_TDIEN,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,TP HCM,HCM,2024,12
AN NAM THU DUC,AN NAM,SD_TDUC,KA HCM2,TRAN THI THAO NGUYEN,NGUYEN THI MUON,"""NO PG""",,,,2024,12
AN NAM TIMESCITY,AN NAM,SD_TIMESCITY,KA HCM2,TRAN THI THAO NGUYEN,LE THI HONG DIEP,"""NO PG""",,,,2024,12
AN NAM VINSMART,AN NAM,SD_VINSMART,KA HCM2,TRAN THI THAO NGUYEN,LE THI HONG DIEP,"""NO PG""",,,,2024,12
BACH HOA XANH AN KHANG,BHX,BHX_ANKHANG,KA HCM1,LE NAM PHUONG,"""NO SALE""","""NO PG""",,TP HCM,,2024,12
BACH HOA XANH BAC LIEU,BHX,BHX_7085_BLI,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2024,12
BACH HOA XANH BEN TRE,BHX,BHX_7000_BTRE,KA HCM4,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2024,12
BACH HOA XANH BUON ME THUOT,BHX,BHX_6450_BMT,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2024,12
BACH HOA XANH CAN DUOC,BHX,BHX_7234_CDUOC,KA HCM5,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2024,12
BACH HOA XANH CAN DUOC,BHX,BHX_10760_CDUOC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2024,12
BIG C HONG NGU,BIG C,BIGC_HNGU,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2024,12
COOP DONG VAN CONG 1,COOP MART,COOP_DVC1,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOP BINH LOI,COOP MART,COOP_NQ_BLOI,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
COOPFOOD KRISTA,COOP FOOD,COOP_F_KRISTA,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD CARINA,COOP FOOD,COOP_F_CARINA,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
EMART PHAN HUY ICH,EMART,4812_PHI,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,,,2024,12
COOPFOOD VAN KIEP,COOP FOOD,COOP_F_VKIEP,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD LACASA,COOP FOOD,COOP_F_LACASA,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD DAT MOI,COOP FOOD,COOP_F_DMOI,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOP LY THUONG KIET,COOP MART,COOP_LTK,KA HCM2,LU DIEU QUANG,TRAN THI THANH TRUC,"""NO PG""",,,,2024,12
BACH HOA XANH CHAU THANH A,BHX,BHX_5060_CTHANHA,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2024,12
BACH HOA XANH DIEN KHANH,BHX,BHX_7200_DKHANH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2024,12
BACH HOA XANH DONG PHU,BHX,BHX_7866_DPHU,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,,2024,12
BACH HOA XANH DUC HOA,BHX,BHX_10864_ONLDHOA,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2024,12
BACH HOA XANH DUC TRONG,BHX,BHX_8030_DTRONG,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN DONG,,2024,12
BACH HOA XANH GO VAP,BHX,BHX_8681_GVAP,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TPHCM,,2024,12
BACH HOA XANH HAM THUAN,BHX,BHX_7211_HTA,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2024,12
BACH HOA XANH HOA THANH,BHX,BHX_6960_HTHANH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN DONG,MIEN DONG NAM BO,2024,12
BACH HOA XANH KHO LONG BINH,BHX,BHX_4089_LBINH,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,DONG NAI,MIEN DONG NAM BO,2024,12
BACH HOA XANH KHO NHA BE,BHX,BHX_6655_NHBE,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
BACH HOA XANH KHO TRAN DAI NGHIA,BHX,BHX_3240_TDN,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
BACH HOA XANH KHO TRAN DAI NGHIA ONLINE,BHX,BHX_27889_ONLTDN,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2024,12
BACH HOA XANH KHO VINH LOC,BHX,BHX_1522_VLOC,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,HCM,2024,12
BACH HOA XANH KIEN GIANG,BHX,BHX_9899_TPHU,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TPHCM,,2024,12
BACH HOA XANH MAI DAM,BHX,BHX_5664_MDAM,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,TP HCM,,2024,12
BACH HOA XANH MY THO,BHX,BHX_4014_MTHO,KA HCM1,LE NAM PHUONG,VACANCY,"""NO PG""",,MIEN TAY,,2024,12
BIG C DIEN BAN,BIG C,BIGC_DBAN,KA HCM2,LE NAM PHUONG,VACANCY,"""NO PG""",,,,2024,12
KING FOOD QUOC LO 50,KING FOOD,6209_QL50,KA HCM2,TRAN THI THAO NGUYEN,VACANCY,"""NO PG""",,,,2024,12
KING FOOD DO XUAN HOP,KING FOOD,6209_DXHOP,KA HCM2,TRAN THI THAO NGUYEN,VACANCY,"""NO PG""",,,,2024,12
KING FOOD BINH QUOI,KING FOOD,6209_BQUOI,KA HCM3,TRAN THI THAO NGUYEN,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD NHA BE,COOP FOOD,COOP_F_NBE,KA HCM4,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
COOPFOOD PHAM THE HIEN 2,COOP FOOD,COOP_F_PTHIEN2,KA HCM2,LU DIEU QUANG,VACANCY,"""NO PG""",,,,2024,12
ACE VIVOCITY,ACE,ACE_VIVO,KA HCM1,LE NAM PHUONG,VU THUY MINH THAO,"""NO PG""",,,,2024,12
COOPFOOD TAY BAC,COOP FOOD,COOP_F_TBAC,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD KDC HOA THANH,COOP FOOD,COOP_F_KDCHTHANHIII,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD QUACH DINH BAO,COOP FOOD,COOP_F_QDBAO,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD MAN  THIEN 126,COOP FOOD,COOP_F_MTHIEN126,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD HOANG QUAN,COOP FOOD,COOP_F_HQUAN,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD TRAN VAN DANH,COOP FOOD,COOP_F_TVDANH,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD PHAN VAN TRI,COOP FOOD,COOP_F_PVTRI,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD DO XUAN HOP 100,COOP FOOD,COOP_F_DXHOP729,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD PHONG PHU,COOP FOOD,COOP_F_PPHU88,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD LY CHIEU HOANG,COOP FOOD,COOP_F_LCHOANG113,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD  DRAGON HILL,COOP FOOD,COOP_F_NHT,KA HCM3,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD SUNRISE,COOP FOOD,COOP_F_SUNRISE,KA HCM4,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD TAN HOA,COOP FOOD,COOP_F_TANHOA,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD TAN LAP 55,COOP FOOD,COOP_F_TANLAP,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD BONG SAO,COOP FOOD,COOP_F_BSAO,KA HCM2,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD QUANG PHUC,COOP FOOD,COOP_F_QPHUC,KA HCM3,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD BAC HA,COOP FOOD,COOP_F_BACHA,KA HCM4,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD PHUC AN LOC,COOP FOOD,COOP_F_PALOC,KA HCM5,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
COOPFOOD LAC LONG QUAN,COOP FOOD,COOP_F_LLQ542,KA HCM6,LU DIEU QUANG,NO SALE,"""NO PG""",,,,2024,12
