MA HH,TEN SP,TEN RUT GON,NHAN
6010014,Pin Fujitsu - LR03(4B+2B) FU-W-FI - AAA    (5504),LR03(4B)AAA,FUJITSU
6010007,Pin Fujitsu - LR03(6B) FU-W-FI - AAA    (5807),LR03(6B)AAA,FUJITSU
6010009,Pin Fujitsu - LR03(8B) FU-W-FI - AAA    (3901),LR03(8B)AAA,FUJITSU
6010001,Pin Fujitsu - LR6(2B) FU-W-FI  - AA       (2404),LR6(2B)AA,FUJITSU
6010010,Pin Fujitsu - LR6(2B) FU-W-FI - AA 10VI/HOP (6240),LR6(2B)AA,FUJITSU
6010003,Pin Fujitsu - LR6(4B) FU-W- FI - AAA     (3500),LR6(4B)AAA,FUJITSU
6010002,Pin Fujitsu - LR6(4B) FU-W-FI  - AA       (3005),LR6(4B)AA,FUJITSU
6010013,Pin Fujitsu - LR6(4B+2B) FU-W-FI-AA       (3005),LR6(4B)AA,FUJITSU
6010006,Pin Fujitsu - LR6(6B) FU-W-FI  - AA       (9808),LR6(6B)AA,FUJITSU
6010008,Pin Fujitsu - LR6(8B) FU-W-FI  - AA       (9907),LR6(8B)AA,FUJITSU
6050012,Pin Fujitsu - R03(2S) F-GP - AAA      (9169),R03(2S)AAA,FUJITSU
6050015,Pin Fujitsu - R03(2S) F-GP - AAA  20VI/HOP (9160) (0916),R03(2S),FUJITSU
6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),R03(4B)AAA,FUJITSU
6040022,Pin Fujitsu - R03/2400(BP4) - R03N(4B)FJEUNIC -  AAA   (3402),R03/2400(BP4)AAA,FUJITSU
6040012,Pin Fujitsu - R03N/2400 (SP2)- R03N(2S)FJEUNIC -  AAA   (1408),R03N/2400(SP2)AAA,FUJITSU
6040012,Pin Fujitsu - R03N/2400(SP2) - R03N(2S)FJEUNIC -  AAA   (1408),R03N/2400(SP2)AAA,FUJITSU
6050005,Pin Fujitsu - R14(2B) F-GP - C       (1118),R14(2B),FUJITSU
6050013,Pin Fujitsu - R14(2S) F-GP - C       (7110),R14(2S)F-GP-C(7110),FUJITSU
6040013,Pin Fujitsu - R14N/2200(SP2) - 2N(2S)FJ-EUNAB - C   (1200),R14N/2200(SP2)C,FUJITSU
6050006,Pin Fujitsu - R20(2B) F-GP - D      (0111),R20(2B)F-GP-D(0111),FUJITSU
6050014,Pin Fujitsu - R20(2S) F-GP - D         (6113),R20(2S)F-GP-D(6113),FUJITSU
6040014,Pin Fujitsu - R20N/2100(SP2) - 1N(2S)FJ-EUNAB - C   (1101)),R20N/2100(SP2)-1N(2S)FJ-EUNAB-C(1101)),FUJITSU
6040014,Pin Fujitsu - R20N/2100(SP2) - 1N(2S)FJ-EUNAB - D   (1101),R20N/2100(SP2)-1N(2S)FJ-EUNAB-D(1101),FUJITSU
6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),R6(4B)F-GP-AA(2115),FUJITSU
6050011,Pin Fujitsu - R6(4S) F-GP - AA       (8117),R6(4S)F-GP-AA(8117),FUJITSU
6050010,Pin Fujitsu - R6(4S) F-GP - AA 10VI/HOP  (8118)  (0811),R6(4S),FUJITSU
6040021,Pin Fujitsu - R6/2300(BP4) - 3N(4B)FJ-EUNAB - AA   (2306),R6/2300(BP4)AA,FUJITSU
6040011,Pin Fujitsu - R6N/2300(SP4) - 3N(4S)FJ-EUNAB - AA   (1309),R6N/2300(SP4)-3N(4S)FJ-EUNAB-AA(1309),FUJITSU
6010032,Pin Fujitsu Premium - LR03(2B) FP-A-FI  - AAA    (0501),FujitsuPremium-LR03(2B)FP-A-FI-AAA(0501),FUJITSU
6010032,Pin Fujitsu Premium - LR03(2B) FP-W-FI  - AAA    (0501),FujitsuPremium-LR03(2B)FP-W-FI-AAA(0501),FUJITSU
6010033,Pin Fujitsu Premium - LR03(4B) FP-A-FI  - AAA    (0600),FujitsuPremium-LR03(4B)FP-A-FI-AAA(0600),FUJITSU
6010033,Pin Fujitsu Premium - LR03(4B) FP-W-FI  - AAA    (0600),FujitsuPremium-LR03(4B)FP-W-FI-AAA(0600),FUJITSU
6010030,Pin Fujitsu Premium - LR6(2B) FP-A-FI - AA      (2804),FujitsuPremium-LR6(2B)FP-A-FI-AA(2804),FUJITSU
6010030,Pin Fujitsu Premium - LR6(2B) FP-W-FI - AA      (2804),FujitsuPremium-LR6(2B)FP-W-FI-AA(2804),FUJITSU
6010031,Pin Fujitsu Premium - LR6(4B) FP-A-FI  - AA       (9703),FujitsuPremium-LR6(4B)FP-A-FI-AA(9703),FUJITSU
6010031,Pin Fujitsu Premium - LR6(4B) FP-W-FI  - AA       (9703),FujitsuPremium-LR6(4B)FP-W-FI-AA(9703),FUJITSU
1610124,Tủ pin - 6 Móc,Tủpin-6Móc,FUJITSU
,Tủ pin - 9 móc,Tủpin-9móc,FUJITSU
7200006,Dao Cạo Gillette Blue 2 FLexi  (5+2) - Gói,Dao Cạo Gillette,GILLETTE
7200005,Dao Cạo Gillette Blue II FLaxi  5+2 (12x12)    (5749),Dao Cạo Gillette,GILLETTE
7200004,Dao Cạo Gillette Blue II Plus 5+1 (12x12)         (8377),Dao Cạo Gillette,GILLETTE
7200004,Dao Cạo Gillette Blue II Plus 5+1 (12x12)    (8377),Dao Cạo Gillette,GILLETTE
7100001,Lưỡi Lam Dunia Shave (5lưỡi x 20hộp),Lưỡi Lam Dunia Shave (5lưỡi x 20hộp),GILLETTE
7200002,Lưỡi Lam Gillette 10+2,Lưỡi Lam Gillette 10+2,GILLETTE
1610082,Hỗ trợ bán hàng - T11/2023,Hỗ trợ bán hàng - T11/2023,Hỗ trợ bán hàng - T11/2023
,Hàng tạm,Hàng tạm,TAM
,Lăn khử mùi nam Adidas - Ice Dive - 40ml (6358) ,LKM ICE DIVE,ADIDAS
,Thùng Coleman giữ lạnh 2000027859 - 15L - Xanh (4067) ,TGN 15L,COLEMAN
,Thùng Coleman giữ lạnh 2000027859 - Xanh - 15L (4067) ,TGN 15L,COLEMAN
,Thùng Coleman giữ lạnh 200010029-26L - Tay kéo - Xanh    (7869) ,TGN 26L TAY KEO,COLEMAN
,Thùng Coleman giữ lạnh 30000027860 - 15L - Đỏ (4074) ,TGN 15L,COLEMAN
,Thùng Coleman giữ lạnh 30000027860 - Đỏ - 15L (4074) ,TGN 15L,COLEMAN
,Thùng Giữ Nhiệt Coleman  2000033008 - 45L - Đỏ       (4869),TGN 45L,COLEMAN
2410001,Gel chống nắng Azarine Hydrasoothe Sunscreen - SPF 45 - 50ml (1791),KCN Hydrasoothe 50ml,AZARINE
2410002,Gel chống nắng Azarine Sunscreen HydraMac C - SPF 50 - 40ml  (2194),KCN HydraMac 40ml ,AZARINE
2420001,Kem dưỡng ấm chống nắng - Azarine Sunscreen Cicamide Barrier - SPF 35 - 40g  (Xanh dương) (2606),KCN Cicamide Barrier  40g  (Xanh dương),AZARINE
2420002,Kem dưỡng ấm chống nắng - Azarine Sunscreen Calm My Acne  - SPF 35 - 40g (Xanh lá) (2590),KCN Calm My Acne 40g (Xanh lá),AZARINE
2430001,Gel dưỡng ấm chống nắng toàn thân - Azarine Sunscreen Sweet Treats Baby - SPF 50 - 100ml  (Hồng) (2460),KCN Sweet Treats Baby100ml  (Hồng),AZARINE
2430002,Gel dưỡng ấm chống nắng  toàn thân  - Azarine Sunscreen Magical LUV - SPF 50 - 100ml  (Tím) (2439),KCN Magical LUV 100ml  (Tím),AZARINE
